,Year,Disaster Subgroup,Disaster Type,Event Name,ISO,Country,Region,Continent,Latitude,Longitude,Local Time,Total Damages ('000 US$)
10132,2006,Meteorological,Extreme temperature ,,NLD,Netherlands,Western Europe,Europe,,,,
10133,2006,Hydrological,Flood,,NPL,Nepal,Southern Asia,Asia,25.62,83.67,,
10134,2006,Hydrological,Landslide,,NPL,Nepal,Southern Asia,Asia,,,,
10135,2006,Climatological,Drought,,NPL,Nepal,Southern Asia,Asia,,,,
10136,2006,Hydrological,Flood,,NZL,New Zealand,Australia and New Zealand,Oceania,-45.69,170.37,,3000.0
10137,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,32.89,73.88,,
10138,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,33.06,69.95,,
10139,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,25.03,67.12,,
10140,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,20.19,73.82,,
10141,2006,Hydrological,Landslide,,PAK,Pakistan,Southern Asia,Asia,35.35,72.62,,
10142,2006,Meteorological,Extreme temperature ,,PAK,Pakistan,Southern Asia,Asia,,,,
10143,2006,Climatological,Wildfire,,PAN,Panama,Central America,Americas,,,,
