,Year,Disaster Subgroup,Disaster Type,Event Name,ISO,Country,Region,Continent,Latitude,Longitude,Local Time,Total Damages ('000 US$)
9904,2005,Meteorological,Extreme temperature ,,POL,Poland,Eastern Europe,Europe,,,,
9905,2005,Meteorological,Extreme temperature ,,RUS,Russia,Eastern Europe,Europe,,,,1000000.0
9906,2005,Meteorological,Extreme temperature ,,TUR,Turkey,Western Asia,Asia,,,,
9907,2005,Meteorological,Extreme temperature ,,UKR,Ukraine,Eastern Europe,Europe,,,,
9908,2005,Meteorological,Storm,Emily,JAM,Jamaica,Caribbean,Americas,,,,1000.0
9909,2005,Hydrological,Flood,,JPN,Japan,Eastern Asia,Asia,,,,
9910,2005,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,,,,
9911,2005,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,,,,
9912,2005,Biological,Epidemic,Meningococcal disease,KEN,Kenya,Eastern Africa,Africa,,,,
9913,2005,Biological,Epidemic,,KEN,Kenya,Eastern Africa,Africa,,,,
9914,2005,Hydrological,Flood,,KHM,Cambodia,South-Eastern Asia,Asia,,,,
9915,2005,Meteorological,Storm,Matsa (Gorio/09W),KOR,South Korea,Eastern Asia,Asia,,,,500.0
9916,2005,Meteorological,Storm,Nabi (Jolina/14W),KOR,South Korea,Eastern Asia,Asia,,,,5000.0
9917,2005,Meteorological,Storm,,KOR,South Korea,Eastern Asia,Asia,,,,160000.0
9918,2005,Biological,Epidemic,Cholera,LBR,Liberia,Western Africa,Africa,,,,
9919,2005,Hydrological,Flood,,LTU,Lithuania,Northern Europe,Europe,,,,
9920,2005,Meteorological,Extreme temperature ,,LVA,Latvia,Northern Europe,Europe,,,,
9921,2005,Meteorological,Storm,,MAR,Morocco,Northern Africa,Africa,,,,50.0
9922,2005,Hydrological,Flood,,MDA,Moldova,Eastern Europe,Europe,,,,7752.0
9923,2005,Hydrological,Flood,,MEX,Mexico,Central America,Americas,,,,
9924,2005,Meteorological,Storm,Emily,MEX,Mexico,Central America,Americas,,,,400000.0
9925,2005,Hydrological,Flood,,MKD,North Macedonia,Southern Europe,Europe,,,,
9926,2005,Hydrological,Flood,,MLI,Mali,Western Africa,Africa,,,,
9927,2005,Biological,Epidemic,Cholera,MLI,Mali,Western Africa,Africa,,,,
9928,2005,Biological,Epidemic,Yellow fever,MLI,Mali,Western Africa,Africa,,,,
9929,2005,Hydrological,Flood,,MLI,Mali,Western Africa,Africa,,,,
9930,2005,Biological,Epidemic,Cholera,MRT,Mauritania,Western Africa,Africa,,,,
9931,2005,Biological,Epidemic,Chikungunya virus disease,MUS,Mauritius,Eastern Africa,Africa,,,,
9932,2005,Hydrological,Flood,,MWI,Malawi,Eastern Africa,Africa,,,,
9933,2005,Meteorological,Storm,,MWI,Malawi,Eastern Africa,Africa,,,,
9934,2005,Hydrological,Flood,,MYS,Malaysia,South-Eastern Asia,Asia,,,,
9935,2005,Biological,Epidemic,Cholera,NER,Niger,Western Africa,Africa,,,,
9936,2005,Hydrological,Flood,,NGA,Nigeria,Western Africa,Africa,,,,147.0
9937,2005,Biological,Epidemic,Cholera,NGA,Nigeria,Western Africa,Africa,,,,
9938,2005,Meteorological,Extreme temperature ,,NLD,Netherlands,Western Europe,Europe,,,,100000.0
9939,2005,Hydrological,Flood,,NPL,Nepal,Southern Asia,Asia,,,,
9940,2005,Geophysical,Earthquake,,PAK,Pakistan,Southern Asia,Asia,34.539,73.588,08:50,5200000.0
9941,2005,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,,,,
9942,2005,Hydrological,Landslide,,PAK,Pakistan,Southern Asia,Asia,,,,
9943,2005,Meteorological,Extreme temperature ,,PAK,Pakistan,Southern Asia,Asia,,,,
9944,2005,Biological,Epidemic,Tetanos,PAK,Pakistan,Southern Asia,Asia,,,,
9945,2005,Biological,Epidemic,Pneumonia,PAK,Pakistan,Southern Asia,Asia,,,,
9946,2005,Geophysical,Earthquake,,PER,Peru,South America,Americas,-19.987,-69.197,,50.0
9947,2005,Geophysical,Earthquake,,PER,Peru,South America,Americas,-5.678,-76.398,,
9948,2005,Hydrological,Flood,,PHL,Philippines,South-Eastern Asia,Asia,,,,
9949,2005,Geophysical,Earthquake,,PNG,Papua New Guinea,Melanesia,Oceania,-6.319,146.846,,
9950,2005,Geophysical,Volcanic activity,"Langila, Manam",PNG,Papua New Guinea,Melanesia,Oceania,-4.08,145.037,,
9951,2005,Hydrological,Flood,,PNG,Papua New Guinea,Melanesia,Oceania,,,,
9952,2005,Meteorological,Extreme temperature ,,PRT,Portugal,Southern Europe,Europe,,,,
9953,2005,Climatological,Wildfire,,PRT,Portugal,Southern Europe,Europe,,,,1650000.0
9954,2005,Climatological,Drought,,PRY,Paraguay,South America,Americas,,,,
9955,2005,Biological,Epidemic,Chikungunya virus disease,REU,Réunion,Eastern Africa,Africa,,,,
9956,2005,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,,,,800000.0
9957,2005,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,,,,313000.0
9958,2005,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,,,,
9959,2005,Meteorological,Extreme temperature ,,ROU,Romania,Eastern Europe,Europe,,,,
9960,2005,Meteorological,Extreme temperature ,,ROU,Romania,Eastern Europe,Europe,,,,
9961,2005,Hydrological,Flood,,RUS,Russia,Eastern Europe,Europe,,,,
9962,2005,Hydrological,Flood,,SDN,Sudan,Northern Africa,Africa,,,,
9963,2005,Biological,Epidemic,Meningococcal disease,SDN,Sudan,Northern Africa,Africa,,,,
9964,2005,Biological,Epidemic,Yellow Fever,SDN,Sudan,Northern Africa,Africa,,,,
9965,2005,Hydrological,Flood,,SEN,Senegal,Western Africa,Africa,,,,
9966,2005,Hydrological,Flood,,SLE,Sierra Leone,Western Africa,Africa,,,,
9967,2005,Geophysical,Volcanic activity,Santa Ana (Ilamatepec),SLV,El Salvador,Central America,Americas,13.852846,-89.63,,
9968,2005,Meteorological,Storm,Adrian,SLV,El Salvador,Central America,Americas,,,,
9969,2005,Hydrological,Flood,,SOM,Somalia,Eastern Africa,Africa,,,,
9970,2005,Biological,Epidemic,,SOM,Somalia,Eastern Africa,Africa,,,,
9971,2005,Biological,Epidemic,Poliomyelitis,SOM,Somalia,Eastern Africa,Africa,,,,
9972,2005,Meteorological,Storm,,SPI,Canary Islands,Southern Europe,Europe,,,,375000.0
9973,2005,Meteorological,Extreme temperature ,,SCG,Serbia,Southern Europe,Europe,,,,
9974,2005,Biological,Epidemic,Cholera,STP,Sao Tome and Principe,Middle Africa,Africa,,,,
9975,2005,Meteorological,Extreme temperature ,,SVK,Slovakia,Eastern Europe,Europe,,,,
9976,2005,Hydrological,Flood,,SVN,Slovenia,Southern Europe,Europe,,,,5000.0
9977,2005,Meteorological,Extreme temperature ,,SWE,Sweden,Northern Europe,Europe,,,,
9978,2005,Biological,Epidemic,Chikungunya virus disease,SYC,Seychelles,Eastern Africa,Africa,,,,
9979,2005,Hydrological,Flood,,THA,Thailand,South-Eastern Asia,Asia,,,,121000.0
9980,2005,Climatological,Drought,,THA,Thailand,South-Eastern Asia,Asia,,,,420000.0
